Game.ID	Away	Home	Season	Week	Date	Month	Day	Total.Away	Total.Home	Away.Pace	Home.Pace	Type
20081028BOS	09CLE	09BOS	2009	1	08-10-28	10	0	85	90	88.7	90.4	Regular Season
20081028CHI	09MIL	09CHI	2009	1	08-10-28	10	0	95	108	92.6	93.1	Regular Season
20081028LAL	09POR	09LAL	2009	1	08-10-28	10	0	76	96	86.6	94.3	Regular Season
20081029DET	09IND	09DET	2009	1	08-10-29	10	1	94	100	96.5	86.7	Regular Season
20081029GSW	09NOH	09GSW	2009	1	08-10-29	10	1	108	103	87.8	98.2	Regular Season
20081029HOU	09MEM	09HOU	2009	1	08-10-29	10	1	71	82	90.1	90.2	Regular Season
20081029LAC	09LAL	09LAC	2009	1	08-10-29	10	1	117	79	94.3	92.1	Regular Season
20081029MIN	09SAC	09MIN	2009	1	08-10-29	10	1	96	98	94.2	91.6	Regular Season
20081029NYK	09MIA	09NYK	2009	1	08-10-29	10	1	115	120	89.9	96.7	Regular Season
20081029OKC	09MIL	09OKC	2009	1	08-10-29	10	1	98	87	92.6	93.6	Regular Season
20081029ORL	09ATL	09ORL	2009	1	08-10-29	10	1	99	85	89.6	92.3	Regular Season
20081029PHI	09TOR	09PHI	2009	1	08-10-29	10	1	95	84	92	90	Regular Season
20081029SAS	09PHO	09SAS	2009	1	08-10-29	10	1	103	98	96	88.4	Regular Season
20081029UTA	09DEN	09UTA	2009	1	08-10-29	10	1	94	98	94.3	93.1	Regular Season
20081029WAS	09NJN	09WAS	2009	1	08-10-29	10	1	95	85	89.9	91	Regular Season
20081030CLE	09CHA	09CLE	2009	1	08-10-30	10	2	79	96	88.3	88.7	Regular Season
20081030DAL	09HOU	09DAL	2009	1	08-10-30	10	2	112	102	90.2	91.5	Regular Season
20081030PHO	09NOH	09PHO	2009	1	08-10-30	10	2	108	95	87.8	96	Regular Season
20081031BOS	09CHI	09BOS	2009	1	08-10-31	10	3	80	96	93.1	90.4	Regular Season
20081031LAC	09DEN	09LAC	2009	1	08-10-31	10	3	113	103	94.3	92.1	Regular Season
20081031MEM	09ORL	09MEM	2009	1	08-10-31	10	3	84	86	92.3	90.1	Regular Season
20081031MIA	09SAC	09MIA	2009	1	08-10-31	10	3	77	103	94.2	89.9	Regular Season
20081031PHI	09NYK	09PHI	2009	1	08-10-31	10	3	87	116	96.7	90	Regular Season
20081031POR	09SAS	09POR	2009	1	08-10-31	10	3	99	100	88.4	86.6	Regular Season
20081031TOR	09GSW	09TOR	2009	1	08-10-31	10	3	108	112	98.2	92	Regular Season
20081101ATL	09PHI	09ATL	2009	1	08-11-1	11	4	88	95	90	89.6	Regular Season
20081101CHA	09MIA	09CHA	2009	1	08-11-1	11	4	87	100	89.9	88.3	Regular Season
20081101CHI	09MEM	09CHI	2009	1	08-11-1	11	4	86	96	90.1	93.1	Regular Season
20081101DEN	09LAL	09DEN	2009	1	08-11-1	11	4	104	97	94.3	94.3	Regular Season
